created_at,amount,count,open,close,low,high,vol
20191119034500,328.139112,2588.000000,8233.020000,8213.950000,8204.080000,8235.010000,2697208.114740
20191119040000,308.381506,2370.000000,8214.000000,8197.140000,8188.010000,8215.170000,2528624.250720
20191119041500,299.194243,2478.000000,8197.310000,8175.580000,8172.600000,8197.720000,2449061.582930
20191119043000,210.905503,1844.000000,8176.500000,8189.180000,8171.440000,8200.320000,1726515.889780
20191119044500,205.126557,1798.000000,8189.190000,8217.820000,8186.600000,8221.590000,1682141.682360
20191119050000,220.663365,2099.000000,8217.740000,8208.820000,8202.610000,8226.290000,1812289.866160
20191119051500,198.222728,1804.000000,8209.320000,8216.000000,8205.000000,8219.000000,1628236.851190
20191119053000,982.459828,3170.000000,8216.150000,8223.610000,8216.150000,8250.010000,8096922.475820
20191119054500,247.403706,1718.000000,8223.600000,8239.120000,8215.400000,8243.070000,2035995.243370
20191119060000,133.404269,1605.000000,8238.780000,8211.670000,8211.670000,8239.860000,1097939.108420
20191119061500,159.117483,1931.000000,8213.840000,8206.140000,8193.900000,8213.850000,1305297.948610
20191119063000,53.255414,1056.000000,8206.250000,8225.360000,8205.330000,8225.360000,437454.484815
20191119064500,132.999131,1326.000000,8224.890000,8213.400000,8212.240000,8231.290000,1093880.582630
20191119070000,157.985829,1774.000000,8213.420000,8200.860000,8200.860000,8218.270000,1297159.308030
20191119071500,138.247429,1737.000000,8202.760000,8206.480000,8201.860000,8211.000000,1134420.622750
20191119073000,148.688533,1672.000000,8206.460000,8196.230000,8188.870000,8210.160000,1219151.874510
20191119074500,160.323777,1590.000000,8196.230000,8187.140000,8185.880000,8200.200000,1314009.775630
20191119080000,448.463734,3354.000000,8187.520000,8203.030000,8173.460000,8216.300000,3674957.480580
20191119081500,141.908085,1340.000000,8203.030000,8195.400000,8191.670000,8206.610000,1163272.427840
20191119083000,117.556139,1471.000000,8195.410000,8186.230000,8184.960000,8195.430000,962872.625441
